objID,u,g,r,i,z
588848900971299493,28.16408,23.89034,22.11257,21.11305,20.04215
588848900971299496,26.73653,24.63089,21.61477,20.75112,19.43629
588848900971299503,22.59241,21.8702,20.83208,27.41196,20.17146
588848900971299507,22.33162,23.88989,21.71958,21.39231,21.51518
588848900971299511,30.90253,18.72559,21.68233,21.29786,22.8298
588848900971299512,23.79635,22.87648,21.5779,20.85997,20.27006
588848900971299514,22.26788,22.57771,21.4938,21.73555,20.66489
588848900971299518,22.47353,22.58522,21.95962,22.37865,25.24403
588848900971299523,22.77138,27.87862,22.26357,21.45959,20.43675
588848900971299529,24.61552,22.04518,20.72008,20.68297,19.57178
588848900971299530,23.1226,22.76348,21.94993,21.02465,20.12772
588848900971299533,24.66059,24.41818,22.4852,20.77162,20.03074
588848900971299538,23.32313,24.18177,22.42556,26.70554,23.6159
588848900971299539,24.19139,23.94489,22.29298,21.74514,21.68884
588848900971299540,23.41685,22.55787,22.22629,21.43801,24.93858
588848900971299545,26.53848,23.90639,21.24937,24.46362,19.65682
588848900971299546,22.35536,22.84874,21.66729,21.6407,20.16899
588848900971299547,22.4806,23.70315,21.28211,20.67005,22.99106
588848900971299551,25.86532,22.56481,20.71402,19.86176,19.27824
588848900971299552,22.92369,22.71032,21.6417,20.7936,20.12237
588848900971299557,30.22879,23.14372,21.23733,19.84852,18.89989
588848900971299561,24.67897,22.5699,21.93966,21.77348,22.86042
588848900971299564,21.82192,26.62403,21.30046,21.06023,25.60279
588848900971299567,21.36485,25.55144,21.96979,21.68048,21.70086
588848900971299568,27.10842,23.31699,21.43394,21.41084,24.20922
588848900971299569,22.93849,24.10887,21.56088,27.16243,26.99763
588848900971299570,22.33148,23.35978,21.37466,21.39595,19.70804
588848900971299573,25.00251,23.02259,21.74119,20.71812,19.87242
588848900971299574,22.07363,23.06234,21.7732,20.90482,21.96446
588848900971299578,25.3897,23.5944,21.20214,20.26165,19.81566
588848900971299579,25.9266,24.37377,21.44357,21.11681,20.88524
588848900971299582,22.27118,25.25132,22.35291,21.60113,21.20388
588848900971299601,27.81063,22.46414,21.50118,27.71215,19.90608
588848900971299603,27.24767,22.23711,21.84761,20.35139,24.43767
588848900971299689,25.98468,22.03935,21.81375,20.84324,21.42044
588848900971364367,25.33747,21.90789,20.30702,19.78946,19.77219
588848900971364368,22.66136,22.01333,21.23752,20.21174,20.12185
588848900971364373,24.4116,22.92042,21.66709,24.35886,22.76947
588848900971364374,24.65372,22.23281,21.72684,23.80392,23.0225
588848900971364381,27.86658,20.97693,19.22966,18.65703,18.07139
588848900971364385,22.75793,22.76072,18.47043,18.35324,18.06061
588848900971364386,26.22219,23.01443,22.11471,21.46891,22.14913
588848900971364390,21.6729,21.9532,20.82997,20.55942,20.35889
588848900971364394,23.81292,22.66218,21.61557,20.12836,20.32982
588848900971364404,22.00786,21.53896,21.0807,20.80867,20.67555
588848900971364407,21.77964,21.92884,21.61546,20.6832,22.81918
588848900971364408,27.75569,21.26243,28.24494,20.08862,26.23397
588848900971364409,22.99948,23.53494,21.82199,21.41685,21.25154
588848900971364411,22.28749,21.88878,21.61702,20.83017,24.85638
588848900971364413,24.02944,22.82337,23.14187,21.17411,22.81779
588848900971364421,22.31274,21.15894,19.93425,19.26086,19.27021
588848900971364422,23.14855,22.42664,20.93782,20.41031,20.64212
588848900971364424,26.17736,24.1726,21.97363,21.41854,20.72076
588848900971364425,23.1921,22.50947,22.51832,21.1264,21.88206
588848900971364436,23.44948,23.53438,21.47585,20.49299,20.47341
588848900971364437,23.7863,22.54439,21.22717,20.74846,20.42369
588848900971364438,23.23034,22.03952,22.15257,21.28937,22.79408
588848900971364443,22.40362,23.86193,22.7105,22.08424,21.4497
588848900971364452,22.52527,22.31137,21.64528,20.63097,19.87486
588848900971364457,19.42884,18.38623,16.42279,15.99308,16.25083
588848900971364458,21.05212,19.5848,18.99757,18.89306,18.51987
588848900971364460,26.02287,22.31061,21.69541,20.40327,19.84342
588848900971364461,23.33644,22.01747,21.06003,20.84241,20.38685
588848900971364462,24.37938,22.07941,21.20167,19.60656,20.42726
588848900971364493,24.61833,20.57559,19.59407,19.1435,18.75553
588848900971364513,21.67947,20.00762,18.82858,18.33539,17.98551
588848900971364554,19.87398,18.75734,18.06182,17.62352,17.35968
588848900971364595,21.76339,20.72655,19.37632,18.84118,18.49648
588848900971364596,24.34282,20.37151,19.10046,18.6431,18.06011
588848900971364600,22.01732,20.52228,19.1216,18.57506,18.18869
588848900971364601,20.96471,19.79557,18.83616,18.39602,18.10105
588848900971364606,21.66287,20.45858,19.27085,18.70738,18.30591
588848900971364609,21.82179,20.46307,19.39107,18.88378,18.62359
588848900971364612,22.83772,20.27876,19.33492,18.94133,18.50444
588848900971364615,22.46475,20.88809,19.69637,19.12867,18.64991
588848900971364617,22.25832,20.05199,18.97912,18.62544,18.18657
588848900971364621,22.04369,21.07422,19.89944,19.38736,18.87736
588848900971364624,21.10209,19.07268,18.19466,17.73644,17.30639
588848900971364638,21.26425,21.31097,19.57103,18.78899,18.35494
588848900971364639,23.59336,22.62404,20.45282,19.69121,19.51995
588848900971364641,21.96456,21.02939,19.59879,19.10319,18.71
588848900971364644,22.91802,23.14942,21.70197,21.10403,20.25644
588848900971364647,20.99417,21.05589,19.47575,18.95112,18.37287
588848900971364649,22.03904,20.93655,19.39123,18.64222,18.31781
588848900971364661,21.8328,22.96857,22.46013,26.51223,22.77343
588848900971364667,22.08389,21.09368,20.26158,19.75141,19.5687
588848900971364675,21.8491,21.48354,20.69474,20.21772,19.54096
588848900971364680,22.34546,21.13457,20.36494,20.32907,19.91967
588848900971364681,26.13285,22.43915,21.95441,21.77642,20.64999
588848900971364683,21.91454,20.50949,19.91986,19.69695,19.2634
588848900971364709,26.49794,22.39105,20.82135,19.76485,19.08419
588848900971364712,22.8088,20.70435,19.90734,19.41132,19.02583
588848900971364713,24.3595,22.59435,21.91726,21.54297,21.04351
588848900971364714,22.08529,22.55309,21.31657,21.91344,22.51676
588848900971364715,21.40914,20.6943,19.73404,19.26885,18.57587
588848900971364719,26.63845,22.015,19.78511,19.21975,18.60964
588848900971364720,24.47007,22.41891,21.56188,21.46208,20.56213
588848900971364721,28.24673,20.55514,20.95332,29.2159,19.18446
588848900971364722,22.89724,22.18831,21.57634,21.32549,21.63904
588848900971364723,25.32983,21.92175,21.02504,20.81368,19.71992
588848900971364724,23.02692,21.9799,21.33862,20.84684,20.06945
588848900971364727,22.36032,21.98543,21.48322,20.57847,20.46636
588848900971364728,23.94348,22.12775,20.59772,19.86098,19.63538
588848900971364729,23.87469,22.01384,20.83629,20.28631,19.88936
588848900971364731,26.63753,20.77072,19.1516,18.47286,17.92616
588848900971364732,21.49886,20.8849,19.92401,19.6041,19.08356
588848900971364733,25.6115,22.09763,20.77642,20.6455,19.63666
588848900971364734,25.44035,22.91374,21.52389,21.41908,20.41253
588848900971364736,21.74083,22.10187,21.61127,20.91031,21.49813
588848900971364741,22.85138,22.24204,20.48224,19.82543,19.396
588848900971364743,23.56613,23.33731,21.67836,21.56946,22.11552
588848900971364744,24.04345,22.11005,21.72564,21.83199,20.73848
588848900971364746,24.88173,22.35356,20.43985,19.77676,19.41794
588848900971364747,24.29928,21.35414,20.28321,19.96057,19.31548
588848900971364748,22.78756,21.84516,20.50958,19.84965,19.59014
588848900971364749,22.62674,23.56323,20.92228,20.28212,19.97823
588848900971364750,24.62346,23.07653,21.2223,21.64943,24.1828
588848900971364752,24.6898,22.13373,21.12729,21.02069,19.86474
588848900971364754,23.05304,22.79359,21.22763,21.15034,20.60965
588848900971364755,25.6289,20.39566,19.81329,19.57553,18.92529
588848900971364756,23.77898,21.59879,20.8406,20.49231,20.06316
588848900971364757,24.20106,21.81629,20.32784,19.69155,19.28887
588848900971364758,24.60866,22.2601,20.86409,20.21768,19.50101
588848900971364760,21.1922,22.45676,21.86279,21.3911,20.38244
